v,d,s,r,p
4,0.052,19.155,0,1.103
8,0.047,24.478,0,1.271
12,0.100,38.443,0,1.210
24,0.055,25.420,0,1.564
4,0.078,27.716,1,0.962
8,0.023,13.691,1,1.325
12,0.072,26.142,1,1.249
24,0.056,17.210,1,1.510
4,0.036,20.596,0,1.158
8,0.033,18.087,0,1.303
12,0.050,29.573,0,1.225
24,0.068,29.613,0,1.417
4,0.059,28.257,1,1.027
8,0.027,13.922,1,1.150
12,0.042,19.023,1,1.405
24,0.037,17.363,1,1.791
4,0.037,20.318,0,1.069
8,0.055,23.345,0,1.163
12,0.111,36.370,0,1.224
24,0.056,23.689,0,1.435
4,0.040,16.755,1,0.989
8,0.070,24.951,1,1.045
12,0.019,10.255,1,1.546
24,0.022,12.791,1,2.000
4,0.055,30.700,0,1.110
8,0.064,27.937,0,1.121
12,0.058,23.652,0,1.252
24,0.074,30.162,0,1.536
4,0.062,19.772,1,1.031
8,0.050,26.419,1,1.289
12,0.094,34.050,1,1.256
24,0.030,10.875,1,1.845
4,0.030,15.955,0,1.157
8,0.110,33.838,0,1.034
12,0.035,19.233,0,1.310
24,0.078,39.520,0,1.344
4,0.036,20.541,1,1.000
8,0.068,21.075,1,1.060
12,0.063,36.292,1,1.368
24,0.046,18.608,1,1.666
4,0.040,22.994,0,1.084
8,0.034,20.355,0,1.138
12,0.056,32.927,0,1.357
24,0.066,35.021,0,1.359
4,0.073,37.422,1,1.157
8,0.031,17.562,1,1.241
12,0.027,12.511,1,1.448
24,0.076,39.479,1,1.369
4,0.030,15.470,0,1.083
8,0.044,13.980,0,1.298
12,0.036,18.274,0,1.287
24,0.018,10.042,0,2.094
4,0.086,31.494,1,0.999
8,0.088,37.880,1,1.240
12,0.083,28.908,1,1.100
24,0.073,27.317,1,1.569
4,0.075,31.628,0,1.029
8,0.060,27.662,0,1.148
12,0.030,18.100,0,1.385
24,0.077,33.821,0,1.478
4,0.051,17.024,1,1.058
8,0.026,15.694,1,1.189
12,0.044,24.056,1,1.202
24,0.032,14.174,1,1.833
4,0.078,39.386,0,1.122
8,0.089,31.246,0,1.045
12,0.032,10.925,0,1.231
24,0.039,17.827,0,1.515
4,0.042,24.524,1,1.103
8,0.072,24.857,1,1.215
12,0.100,39.428,1,1.151
24,0.042,20.394,1,1.576
4,0.022,11.897,0,1.106
8,0.075,31.608,0,1.103
12,0.066,27.516,0,1.280
24,0.033,16.715,0,1.781
4,0.021,11.401,1,1.171
8,0.047,20.965,1,1.096
12,0.041,24.554,1,1.377
24,0.107,38.943,1,1.384
4,0.043,24.945,0,1.080
8,0.031,13.627,0,1.286
12,0.066,24.410,0,1.253
24,0.076,37.671,0,1.522
4,0.056,30.071,1,1.078
8,0.080,37.687,1,1.191
12,0.031,11.470,1,1.279
24,0.062,36.699,1,1.604
4,0.071,29.240,0,1.109
8,0.094,31.328,0,1.197
12,0.026,12.265,0,1.395
24,0.103,31.336,0,1.453
4,0.041,18.753,1,1.127
8,0.047,16.954,1,1.175
12,0.034,12.333,1,1.418
24,0.048,23.750,1,1.707
4,0.050,16.768,0,1.074
8,0.032,13.872,0,1.316
12,0.107,39.852,0,1.289
24,0.053,30.407,0,1.696
4,0.111,39.156,1,1.140
8,0.071,28.078,1,1.231
12,0.023,11.324,1,1.364
24,0.039,23.203,1,1.609
4,0.109,35.693,0,1.059
8,0.059,24.797,0,1.180
12,0.037,12.217,0,1.257
24,0.110,36.939,0,1.280
4,0.057,19.338,1,1.042
8,0.082,37.060,1,1.188
12,0.039,12.470,1,1.250
24,0.084,33.461,1,1.504
4,0.028,15.947,0,1.076
8,0.114,35.402,0,1.065
12,0.041,21.165,0,1.357
24,0.027,15.282,0,1.667
4,0.036,18.383,1,1.088
8,0.026,11.594,1,1.173
12,0.048,26.940,1,1.211
24,0.059,20.137,1,1.672
4,0.032,16.919,0,1.087
8,0.027,11.130,0,1.309
12,0.070,24.873,0,1.294
24,0.054,23.733,0,1.571
4,0.042,13.893,1,0.990
8,0.035,19.904,1,1.298
12,0.072,35.929,1,1.118
24,0.060,29.720,1,1.431
4,0.104,36.912,0,1.034
8,0.034,17.132,0,1.123
12,0.070,31.059,0,1.215
24,0.080,27.945,0,1.577
4,0.060,31.187,1,1.114
8,0.074,39.341,1,1.255
12,0.070,24.848,1,1.222
24,0.064,21.330,1,1.554
4,0.081,38.606,0,1.051
8,0.066,20.783,0,1.136
12,0.049,27.505,0,1.252
24,0.033,12.442,0,1.631
4,0.047,19.808,1,1.192
8,0.040,19.320,1,1.232
12,0.119,39.950,1,1.255
24,0.060,24.662,1,1.418
4,0.079,32.778,0,1.105
8,0.078,26.178,0,1.057
12,0.042,21.972,0,1.382
24,0.079,28.224,0,1.581
4,0.046,24.445,1,1.128
8,0.040,19.665,1,1.324
12,0.024,13.116,1,1.337
24,0.060,32.883,1,1.377
4,0.043,15.002,0,1.047
8,0.076,39.200,0,1.194
12,0.035,19.442,0,1.305
24,0.034,14.418,0,1.730
4,0.023,13.858,1,1.041
8,0.024,10.512,1,1.358
12,0.069,37.343,1,1.131
24,0.071,39.010,1,1.334
4,0.035,11.411,0,1.144
8,0.052,21.946,0,1.077
12,0.085,26.263,0,1.262
24,0.059,27.532,0,1.582
4,0.033,18.288,1,1.185
8,0.047,17.578,1,1.092
12,0.053,20.300,1,1.377
24,0.058,22.424,1,1.655
4,0.039,14.857,0,1.077
8,0.020,11.419,0,1.248
12,0.074,28.038,0,1.233
24,0.030,16.718,0,1.663
4,0.081,33.876,1,1.025
8,0.102,37.083,1,1.037
12,0.022,11.295,1,1.526
24,0.076,39.341,1,1.416
4,0.022,12.141,0,1.173
8,0.074,29.556,0,1.062
12,0.093,36.295,0,1.152
24,0.082,28.853,0,1.447
4,0.045,18.000,1,1.065
8,0.066,27.341,1,1.211
12,0.072,23.927,1,1.255
24,0.026,11.242,1,1.895
4,0.068,21.384,0,1.074
8,0.082,29.545,0,1.261
12,0.058,32.254,0,1.262
24,0.094,32.304,0,1.346
4,0.050,20.716,1,1.137
8,0.024,13.868,1,1.274
12,0.083,30.258,1,1.131
24,0.092,34.490,1,1.399
4,0.039,21.755,0,1.079
8,0.086,39.984,0,1.059
12,0.028,11.706,0,1.514
24,0.040,18.697,0,1.485
4,0.086,28.655,1,1.034
8,0.061,31.206,1,1.166
12,0.060,34.280,1,1.285
24,0.038,13.137,1,1.707
4,0.063,29.723,0,1.107
8,0.074,25.810,0,1.216
12,0.030,17.152,0,1.255
24,0.095,29.966,0,1.404
4,0.037,11.889,1,1.095
8,0.049,20.342,1,1.135
12,0.078,36.457,1,1.218
24,0.057,26.228,1,1.489
4,0.061,26.705,0,1.091
8,0.077,36.620,0,1.173
12,0.077,24.543,0,1.325
24,0.061,26.777,0,1.402
4,0.032,11.390,1,1.199
8,0.061,26.386,1,1.193
12,0.025,12.111,1,1.443
24,0.022,11.668,1,1.942
4,0.060,30.293,0,1.115
8,0.023,12.122,0,1.360
12,0.089,29.296,0,1.323
24,0.099,39.496,0,1.501
4,0.027,10.034,1,1.192
8,0.084,30.513,1,1.220
12,0.074,25.301,1,1.215
24,0.021,12.550,1,1.768
4,0.047,26.382,0,1.098
8,0.035,13.816,0,1.214
12,0.045,15.019,0,1.296
24,0.049,24.739,0,1.448
4,0.048,20.256,1,1.189
8,0.023,11.315,1,1.177
12,0.021,12.634,1,1.359
24,0.028,10.702,1,1.736
4,0.022,12.512,0,1.195
8,0.037,22.274,0,1.255
12,0.070,35.826,0,1.136
24,0.047,24.685,0,1.711
4,0.063,37.670,1,1.115
8,0.038,19.246,1,1.237
12,0.033,14.376,1,1.392
24,0.091,36.172,1,1.542
4,0.046,24.346,0,1.097
8,0.029,15.540,0,1.268
12,0.021,10.064,0,1.403
24,0.099,36.431,0,1.332
4,0.053,30.790,1,1.077
8,0.050,21.793,1,1.084
12,0.064,22.964,1,1.250
24,0.035,20.652,1,1.831
4,0.096,39.401,0,1.056
8,0.075,32.359,0,1.243
12,0.047,16.501,0,1.168
24,0.046,18.873,0,1.478
4,0.028,14.843,1,1.144
8,0.046,14.026,1,1.183
12,0.078,30.869,1,1.308
24,0.032,17.826,1,1.783
4,0.063,29.073,0,1.043
